,category,price,price_1m2,area,title_deed,repair,room_number,floor_house,total_floors,title_length,floor_status
6560,New construction,93000.0,1290.0,72.0,don't exist,exist,2.0,17.0,18.0,55,3
6561,New construction,213000.0,2130.0,100.0,exist,exist,3.0,14.0,15.0,58,3
6562,Old building,122000.0,1740.0,70.0,exist,exist,3.0,3.0,5.0,48,2
6563,New construction,165900.0,3020.0,55.0,don't exist,exist,2.0,10.0,18.0,45,2
6564,New construction,189000.0,2100.0,90.0,exist,exist,4.0,19.0,21.0,48,3
6565,New construction,375000.0,2160.0,174.0,exist,exist,4.0,11.0,19.0,46,2
6566,New construction,280000.0,1930.0,145.0,exist,exist,3.0,5.0,18.0,57,2
6567,Old building,105000.0,2630.0,40.0,exist,exist,2.0,8.0,9.0,48,3
6568,New construction,260000.0,1930.0,135.0,exist,exist,4.0,12.0,17.0,48,2
6569,New construction,165000.0,2060.0,80.0,exist,exist,2.0,16.0,17.0,56,3
6570,New construction,780000.0,2400.0,325.0,exist,exist,5.0,13.0,18.0,46,2
6571,Old building,106000.0,2360.0,45.0,exist,don't exist,1.0,5.0,9.0,48,2
6572,New construction,208000.0,1810.0,115.0,exist,exist,3.0,6.0,16.0,57,2
6573,New construction,325000.0,3250.0,100.0,exist,exist,3.0,21.0,27.0,48,3
6574,New construction,229000.0,2080.0,110.1,exist,exist,2.0,7.0,17.0,59,2
6575,New construction,250000.0,1920.0,130.0,exist,exist,2.0,17.0,18.0,51,3
6576,Old building,88300.0,2210.0,40.0,exist,exist,2.0,3.0,5.0,48,2
6577,New construction,350000.0,2410.0,145.0,exist,exist,4.0,13.0,19.0,51,2
6578,Old building,68000.0,1360.0,50.0,exist,exist,2.0,2.0,4.0,48,2
6579,New construction,226000.0,2260.0,100.0,exist,exist,3.0,4.0,16.0,46,2
6580,New construction,115000.0,2400.0,48.0,don't exist,don't exist,2.0,6.0,16.0,48,2
6581,New construction,590000.0,2630.0,224.0,exist,exist,4.0,4.0,12.0,47,2
6582,New construction,345000.0,2030.0,170.0,exist,exist,4.0,7.0,19.0,46,2
6583,Old building,108000.0,3180.0,34.0,exist,exist,1.0,4.0,5.0,57,3
6584,New construction,250000.0,2780.0,90.0,don't exist,don't exist,2.0,8.0,16.0,45,2
6585,Old building,58000.0,1160.0,50.0,exist,exist,3.0,2.0,2.0,49,3
6586,New construction,420000.0,2500.0,168.0,exist,exist,3.0,9.0,17.0,57,2
6587,New construction,118000.0,2150.0,55.0,exist,exist,2.0,8.0,14.0,46,2
6588,New construction,230000.0,1560.0,147.0,don't exist,don't exist,3.0,11.0,16.0,48,2
6589,New construction,580000.0,2790.0,208.0,exist,exist,4.0,16.0,18.0,46,3
6590,Old building,165000.0,1500.0,110.0,exist,exist,4.0,2.0,3.0,46,2
6591,New construction,225000.0,2050.0,110.0,exist,exist,3.0,15.0,18.0,57,3
6592,New construction,300000.0,2000.0,150.0,exist,don't exist,3.0,23.0,28.0,46,3
6593,New construction,749999.0,3410.0,219.9,exist,exist,4.0,5.0,7.0,50,2
6594,New construction,197000.0,2460.0,80.0,don't exist,exist,2.0,2.0,16.0,56,1
6595,New construction,180000.0,2070.0,87.0,exist,exist,3.0,2.0,14.0,47,1
6596,New construction,448000.0,2700.0,166.0,don't exist,don't exist,4.0,7.0,12.0,46,2
6597,Old building,82000.0,1820.0,45.0,exist,exist,2.0,7.0,9.0,52,3
6598,New construction,215000.0,2260.0,95.0,don't exist,exist,3.0,5.0,17.0,45,2
6599,New construction,80000.0,1080.0,74.0,don't exist,don't exist,2.0,2.0,3.0,48,2
6600,New construction,138000.0,1620.0,85.0,exist,exist,3.0,11.0,12.0,46,3
6601,New construction,172000.0,2000.0,86.0,exist,exist,2.0,9.0,20.0,56,2
6602,New construction,390000.0,2050.0,190.0,don't exist,exist,4.0,4.0,18.0,49,1
6603,New construction,165000.0,2430.0,68.0,exist,exist,3.0,16.0,16.0,50,3
6604,New construction,389000.0,2190.0,178.0,exist,exist,4.0,10.0,19.0,48,2
6605,New construction,265000.0,2290.0,115.5,don't exist,don't exist,3.0,4.0,9.0,51,2
6606,New construction,43500.0,1210.0,36.0,don't exist,exist,2.0,2.0,7.0,46,2
6607,New construction,380000.0,2300.0,165.0,exist,exist,4.0,3.0,17.0,57,1
6608,New construction,315000.0,1580.0,200.0,exist,exist,7.0,12.0,12.0,49,3
6609,New construction,300000.0,2000.0,150.0,exist,exist,3.0,4.0,18.0,49,1
6610,New construction,300000.0,2100.0,143.0,exist,exist,3.0,7.0,18.0,51,2
6611,Old building,185950.0,2480.0,75.0,exist,exist,3.0,2.0,5.0,57,2
6612,New construction,399950.0,1900.0,210.0,exist,exist,4.0,10.0,16.0,57,2
6613,New construction,499950.0,2170.0,230.0,exist,exist,5.0,7.0,16.0,49,2
6614,New construction,278000.0,2930.0,95.0,don't exist,exist,3.0,5.0,8.0,47,2
6615,New construction,310000.0,3600.0,86.0,don't exist,exist,3.0,10.0,18.0,57,2
6616,Old building,81000.0,2190.0,37.0,exist,exist,1.0,7.0,9.0,52,3
6617,New construction,750000.0,5510.0,136.0,exist,exist,3.0,16.0,22.0,46,2
6618,Old building,112000.0,3730.0,30.0,exist,exist,1.0,3.0,5.0,58,2
6619,New construction,332000.0,2500.0,133.0,exist,don't exist,3.0,10.0,16.0,46,2
6620,Old building,134000.0,2440.0,55.0,exist,exist,2.0,8.0,9.0,51,3
6621,New construction,81000.0,1130.0,72.0,don't exist,exist,2.0,3.0,8.0,46,2
6622,Old building,184000.0,1470.0,125.0,exist,exist,5.0,9.0,9.0,52,3
6623,New construction,205000.0,2470.0,83.0,exist,exist,3.0,2.0,17.0,50,1
6624,New construction,148000.0,2060.0,72.0,don't exist,exist,2.0,11.0,12.0,50,3
6625,New construction,245000.0,2040.0,120.0,exist,exist,3.0,18.0,19.0,46,3
6626,New construction,112000.0,1930.0,58.0,exist,exist,2.0,8.0,16.0,51,2
6627,New construction,202000.0,2320.0,87.0,don't exist,exist,3.0,4.0,16.0,51,2
6628,New construction,182000.0,1730.0,105.0,exist,exist,3.0,8.0,17.0,45,2
6629,New construction,165000.0,2430.0,68.0,don't exist,exist,2.0,14.0,17.0,51,3
6630,New construction,384900.0,2330.0,165.0,exist,exist,3.0,18.0,20.0,46,3
6631,Old building,310000.0,3880.0,80.0,exist,exist,2.0,2.0,3.0,45,2
6632,New construction,165000.0,2800.0,59.0,exist,exist,2.0,12.0,14.0,48,3
6633,New construction,158000.0,2630.0,60.0,exist,exist,2.0,7.0,17.0,50,2
6634,New construction,215000.0,1580.0,136.0,don't exist,don't exist,3.0,3.0,16.0,52,1
6635,New construction,175000.0,2690.0,65.0,exist,exist,2.0,12.0,16.0,45,2
6636,New construction,147900.0,2180.0,68.0,exist,exist,2.0,10.0,16.0,51,2
6637,New construction,250000.0,2000.0,125.0,exist,exist,3.0,10.0,19.0,47,2
6638,New construction,159000.0,2840.0,56.0,exist,exist,2.0,5.0,18.0,56,2
6639,New construction,155000.0,2580.0,60.0,exist,exist,2.0,9.0,17.0,45,2
6640,New construction,449900.0,2180.0,206.0,exist,exist,3.0,7.0,12.0,57,2
6641,New construction,215000.0,2090.0,103.0,exist,exist,3.0,5.0,18.0,48,2
6642,New construction,410000.0,3280.0,125.0,exist,exist,3.0,5.0,18.0,57,2
6643,New construction,350000.0,2800.0,125.0,exist,exist,3.0,2.0,7.0,47,2
6644,Old building,94000.0,2690.0,35.0,exist,exist,2.0,4.0,5.0,46,3
6645,New construction,495000.0,2780.0,178.0,exist,exist,4.0,14.0,17.0,57,3
6646,Old building,150000.0,2360.0,63.6,exist,exist,2.0,2.0,6.0,48,2
6647,New construction,190000.0,3060.0,62.0,don't exist,exist,2.0,7.0,16.0,56,2
6648,New construction,220000.0,2080.0,106.0,don't exist,exist,3.0,2.0,17.0,52,1
6649,New construction,172000.0,2290.0,75.0,don't exist,exist,3.0,8.0,17.0,51,2
6650,New construction,160000.0,2110.0,76.0,exist,exist,2.0,12.0,17.0,51,2
6651,New construction,240000.0,1920.0,125.0,don't exist,exist,3.0,12.0,17.0,52,2
6652,New construction,230000.0,1700.0,135.0,exist,exist,4.0,14.0,18.0,51,3
6653,New construction,52000.0,1270.0,41.0,don't exist,exist,2.0,6.0,8.0,46,2
6654,Old building,115000.0,2300.0,50.0,exist,exist,1.0,5.0,5.0,58,3
6655,Old building,157000.0,3270.0,48.0,exist,exist,2.0,2.0,5.0,46,2
6656,Old building,135000.0,1350.0,100.0,exist,exist,4.0,2.0,9.0,53,1
6657,New construction,130000.0,2170.0,60.0,don't exist,exist,2.0,10.0,15.0,50,2
6658,New construction,450000.0,2470.0,182.0,exist,exist,4.0,6.0,17.0,58,2
6659,New construction,203500.0,2190.0,93.0,exist,don't exist,2.0,9.0,12.0,48,2
6660,Old building,125000.0,1250.0,100.0,exist,exist,4.0,1.0,9.0,54,1
6661,New construction,215000.0,2690.0,80.0,exist,exist,2.0,7.0,14.0,48,2
6662,New construction,475000.0,4700.0,101.0,exist,exist,3.0,6.0,23.0,46,2
6663,New construction,268000.0,2410.0,111.0,exist,exist,2.0,16.0,16.0,57,3
6664,New construction,255000.0,2630.0,97.0,exist,don't exist,3.0,11.0,17.0,45,2
6665,New construction,395000.0,2480.0,159.0,exist,exist,4.0,4.0,18.0,46,1
6666,New construction,107000.0,2020.0,53.0,exist,exist,2.0,7.0,19.0,50,2
6667,New construction,95000.0,1300.0,73.0,don't exist,exist,2.0,4.0,17.0,46,1
6668,New construction,132000.0,2280.0,58.0,exist,exist,2.0,10.0,17.0,51,2
6669,Old building,137000.0,2630.0,52.0,exist,exist,2.0,4.0,4.0,46,3
6670,Old building,180000.0,6000.0,30.0,exist,exist,2.0,3.0,3.0,45,3
6671,New construction,220000.0,2240.0,98.0,don't exist,don't exist,2.0,4.0,17.0,45,1
6672,Old building,242000.0,2420.0,100.0,exist,exist,3.0,8.0,9.0,47,3
6673,New construction,79000.0,1580.0,50.0,exist,exist,3.0,11.0,11.0,51,3
6674,New construction,240000.0,2350.0,102.0,exist,exist,3.0,19.0,24.0,57,3
6675,Old building,150000.0,3000.0,50.0,exist,exist,2.0,3.0,3.0,46,3
6676,New construction,950000.0,4320.0,220.0,exist,exist,3.0,19.0,21.0,58,3
6677,New construction,290000.0,2480.0,117.0,don't exist,exist,3.0,5.0,16.0,51,2
6678,New construction,460000.0,2540.0,181.0,exist,exist,4.0,11.0,15.0,46,2
6679,Old building,127000.0,1100.0,115.0,don't exist,exist,4.0,4.0,9.0,49,2
6680,Old building,86600.0,1440.0,60.0,exist,exist,2.0,9.0,9.0,48,3
6681,New construction,202000.0,2770.0,73.0,don't exist,exist,2.0,6.0,11.0,47,2
6682,New construction,845000.0,1880.0,450.0,exist,exist,8.0,17.0,17.0,57,3
6683,New construction,85000.0,1210.0,70.0,exist,exist,2.0,8.0,15.0,44,2
6684,New construction,225000.0,1440.0,156.0,exist,exist,3.0,12.0,14.0,51,3
6685,New construction,300000.0,3160.0,95.0,don't exist,exist,3.0,4.0,16.0,56,2
6686,New construction,97000.0,1800.0,54.0,don't exist,exist,2.0,3.0,4.0,48,2
6687,New construction,335000.0,2260.0,148.0,exist,exist,3.0,16.0,27.0,47,2
6688,New construction,118000.0,1440.0,82.0,exist,exist,3.0,11.0,16.0,48,2
6689,Old building,50000.0,1390.0,36.0,exist,don't exist,2.0,5.0,5.0,48,3
6690,New construction,450000.0,2800.0,161.0,don't exist,don't exist,4.0,6.0,7.0,45,3
6691,New construction,240000.0,2180.0,110.0,exist,exist,3.0,18.0,20.0,49,3
6692,New construction,92000.0,1350.0,68.0,exist,exist,3.0,1.0,7.0,45,1
6693,New construction,188000.0,1770.0,106.0,exist,exist,3.0,14.0,18.0,51,3
6694,Old building,210000.0,2000.0,105.0,exist,exist,4.0,7.0,9.0,57,3
6695,New construction,300000.0,2000.0,150.0,exist,exist,4.0,9.0,11.0,57,3
6696,New construction,258000.0,2720.0,95.0,exist,exist,2.0,18.0,20.0,45,3
6697,New construction,240000.0,2590.0,92.6,exist,don't exist,3.0,4.0,7.0,49,2
6698,New construction,384000.0,2630.0,146.0,don't exist,don't exist,4.0,4.0,16.0,46,2
6699,New construction,350000.0,1990.0,176.0,don't exist,exist,4.0,15.0,24.0,51,2
6700,New construction,155000.0,1480.0,105.0,don't exist,exist,2.0,3.0,14.0,47,1
6701,New construction,177000.0,2460.0,72.0,exist,exist,2.0,2.0,16.0,56,1
6702,New construction,68500.0,965.0,71.0,don't exist,don't exist,2.0,7.0,18.0,50,2
6703,New construction,270000.0,2430.0,111.0,exist,exist,3.0,8.0,24.0,57,2
6704,Old building,82000.0,2050.0,40.0,exist,exist,1.0,1.0,5.0,52,1
6705,New construction,505000.0,2250.0,224.0,exist,don't exist,4.0,10.0,23.0,46,2
6706,New construction,159000.0,2890.0,55.0,exist,exist,2.0,5.0,18.0,56,2
6707,New construction,5100000.0,17000.0,300.0,exist,exist,5.0,14.0,22.0,45,2
6708,New construction,225000.0,2080.0,108.0,exist,exist,3.0,5.0,17.0,49,2
6709,New construction,215000.0,2720.0,79.0,don't exist,exist,2.0,12.0,17.0,45,2
6710,New construction,260000.0,1770.0,147.0,don't exist,exist,4.0,4.0,22.0,47,1
6711,New construction,146000.0,1400.0,104.0,don't exist,exist,2.0,7.0,17.0,47,2
6712,New construction,96000.0,951.0,101.0,exist,exist,3.0,6.0,6.0,47,3
6713,New construction,88000.0,1470.0,60.0,exist,exist,3.0,11.0,11.0,51,3
6714,New construction,200000.0,2860.0,70.0,exist,exist,2.0,8.0,16.0,48,2
6715,New construction,223000.0,2100.0,106.0,don't exist,don't exist,3.0,4.0,15.0,57,2
6716,Old building,195000.0,2370.0,82.4,exist,exist,3.0,2.0,5.0,48,2
6717,New construction,105000.0,1750.0,60.0,don't exist,exist,2.0,5.0,14.0,50,2
6718,New construction,124900.0,2270.0,55.0,exist,exist,2.0,15.0,17.0,51,3
6719,New construction,915000.0,2500.0,366.0,exist,don't exist,6.0,6.0,14.0,47,2
6720,New construction,230000.0,2110.0,109.0,exist,exist,3.0,7.0,16.0,57,2
6721,New construction,165000.0,3060.0,54.0,don't exist,exist,2.0,11.0,17.0,45,2
6722,New construction,208000.0,1660.0,125.0,exist,exist,3.0,5.0,19.0,51,2
6723,New construction,410000.0,2720.0,150.5,exist,exist,3.0,21.0,27.0,53,3
6724,New construction,266000.0,2250.0,118.0,exist,exist,3.0,12.0,20.0,49,2
6725,New construction,2877000.0,3300.0,872.0,exist,don't exist,8.0,15.0,16.0,46,3
6726,New construction,190000.0,3110.0,61.0,don't exist,exist,2.0,6.0,17.0,46,2
6727,New construction,225000.0,2780.0,81.0,exist,exist,2.0,9.0,19.0,48,2
6728,New construction,313500.0,2610.0,120.0,don't exist,don't exist,3.0,5.0,16.0,46,2
6729,New construction,390000.0,1950.0,200.0,exist,exist,4.0,21.0,22.0,46,3
6730,New construction,265000.0,1830.0,145.0,exist,exist,2.0,21.0,22.0,46,3
6731,Old building,95000.0,2500.0,38.0,exist,exist,2.0,2.0,5.0,57,2
6732,New construction,475000.0,4700.0,101.0,exist,exist,2.0,6.0,22.0,46,2
6733,New construction,620000.0,2300.0,270.0,exist,exist,5.0,10.0,11.0,58,3
6734,Old building,230000.0,2560.0,90.0,exist,exist,3.0,5.0,5.0,46,3
6735,Old building,165000.0,2360.0,70.0,exist,exist,2.0,2.0,9.0,47,1
6736,New construction,380000.0,1900.0,200.0,exist,exist,3.0,17.0,21.0,49,3
6737,New construction,335000.0,1810.0,185.0,exist,exist,3.0,7.0,17.0,46,2
6738,New construction,550000.0,3790.0,145.0,exist,exist,4.0,2.0,7.0,48,2
6739,New construction,133000.0,1660.0,80.0,exist,exist,2.0,12.0,17.0,51,2
6740,Old building,105000.0,1620.0,65.0,exist,exist,3.0,1.0,5.0,51,1
6741,New construction,120000.0,2400.0,50.0,exist,exist,2.0,11.0,18.0,44,2
6742,New construction,400000.0,2260.0,177.0,don't exist,exist,4.0,18.0,19.0,46,3
6743,New construction,650000.0,2080.0,313.0,exist,exist,6.0,16.0,21.0,58,3
6744,Old building,65000.0,2100.0,30.9,exist,exist,1.0,2.0,4.0,50,2
6745,New construction,95000.0,1250.0,76.0,exist,exist,2.0,12.0,15.0,46,3
6746,Old building,168000.0,2580.0,65.0,exist,exist,3.0,7.0,9.0,56,3
6747,New construction,115000.0,2300.0,50.0,exist,exist,2.0,2.0,14.0,51,1
6748,New construction,365000.0,2210.0,165.0,exist,exist,4.0,4.0,17.0,49,1
6749,Old building,240000.0,3430.0,70.0,exist,exist,3.0,2.0,5.0,46,2
6750,Old building,98000.0,1030.0,95.0,exist,exist,4.0,5.0,5.0,46,3
6751,New construction,330000.0,2540.0,130.0,exist,exist,3.0,15.0,16.0,58,3
6752,New construction,385000.0,2380.0,162.0,exist,exist,4.0,8.0,19.0,57,2
6753,New construction,118000.0,1970.0,60.0,don't exist,don't exist,2.0,2.0,17.0,48,1
6754,New construction,650000.0,2410.0,270.0,exist,exist,5.0,7.0,16.0,46,2
6755,New construction,189000.0,2860.0,66.0,don't exist,exist,2.0,3.0,18.0,46,1
6756,Old building,124500.0,2460.0,50.6,exist,exist,2.0,3.0,9.0,53,2
6757,New construction,180000.0,1440.0,125.0,exist,exist,4.0,19.0,21.0,51,3
6758,New construction,185000.0,1850.0,100.0,exist,exist,3.0,3.0,12.0,52,2
6759,New construction,344000.0,2920.0,118.0,don't exist,exist,3.0,5.0,17.0,46,2
6760,New construction,199000.0,1590.0,125.0,don't exist,don't exist,3.0,8.0,17.0,57,2
6761,Old building,106000.0,1830.0,58.0,exist,exist,2.0,3.0,5.0,51,2
6762,New construction,256000.0,1600.0,160.0,exist,exist,2.0,15.0,16.0,57,3
6763,Old building,112000.0,1870.0,60.0,exist,exist,2.0,3.0,5.0,49,2
6764,New construction,153000.0,1830.0,83.7,don't exist,don't exist,3.0,6.0,14.0,52,2
6765,New construction,400000.0,1250.0,320.0,exist,exist,4.0,1.0,12.0,58,1
6766,New construction,229000.0,2520.0,90.7,exist,exist,3.0,17.0,19.0,47,3
6767,Old building,199000.0,2210.0,90.0,exist,exist,3.0,2.0,5.0,46,2
6768,New construction,550000.0,2290.0,240.0,exist,exist,5.0,5.0,5.0,45,3
6769,Old building,170000.0,2430.0,70.0,exist,exist,2.0,6.0,9.0,51,2
6770,New construction,208000.0,1540.0,135.0,exist,exist,3.0,5.0,19.0,51,2
6771,New construction,284500.0,2710.0,105.0,don't exist,exist,4.0,6.0,17.0,46,2
6772,New construction,300000.0,1760.0,170.0,exist,exist,3.0,2.0,15.0,57,1
6773,New construction,238000.0,2480.0,96.0,exist,exist,2.0,11.0,16.0,50,2
6774,Old building,115000.0,1920.0,60.0,exist,exist,2.0,2.0,3.0,51,2
6775,New construction,270000.0,1690.0,160.0,exist,exist,4.0,3.0,13.0,51,1
6776,New construction,235000.0,1680.0,140.0,exist,exist,3.0,12.0,20.0,57,2
6777,New construction,365000.0,2230.0,164.0,don't exist,don't exist,4.0,8.0,15.0,49,2
6778,New construction,455000.0,2070.0,220.0,exist,exist,4.0,11.0,19.0,47,2
6779,New construction,160000.0,1850.0,86.6,don't exist,don't exist,2.0,8.0,17.0,58,2
6780,New construction,184500.0,2050.0,90.0,don't exist,exist,2.0,14.0,17.0,51,3
6781,New construction,260000.0,2480.0,105.0,exist,don't exist,2.0,14.0,27.0,48,2
6782,New construction,72500.0,690.0,105.0,don't exist,don't exist,3.0,11.0,12.0,49,3
6783,Old building,96000.0,1480.0,65.0,exist,don't exist,2.0,1.0,9.0,52,1
6784,Old building,160000.0,2350.0,68.0,don't exist,exist,3.0,7.0,9.0,47,3
6785,New construction,215000.0,3410.0,63.0,don't exist,don't exist,2.0,2.0,6.0,47,2
6786,New construction,159000.0,2890.0,55.0,don't exist,exist,2.0,5.0,17.0,48,2
6787,New construction,297000.0,2220.0,134.0,don't exist,don't exist,3.0,8.0,16.0,49,2
6788,New construction,255000.0,1730.0,147.0,exist,exist,3.0,10.0,20.0,57,2
6789,Old building,105000.0,2840.0,37.0,exist,exist,1.0,5.0,5.0,57,3
6790,New construction,270000.0,2520.0,107.0,exist,exist,3.0,4.0,16.0,48,2
6791,New construction,330000.0,2360.0,140.0,exist,exist,3.0,12.0,17.0,57,2
6792,New construction,202000.0,2730.0,74.0,exist,exist,2.0,8.0,12.0,47,2
6793,New construction,139000.0,1780.0,78.0,exist,exist,2.0,3.0,11.0,50,2
6794,New construction,220000.0,1250.0,176.0,don't exist,don't exist,4.0,19.0,21.0,51,3
6795,New construction,355000.0,2110.0,168.0,exist,exist,4.0,14.0,17.0,58,3
6796,New construction,490000.0,1750.0,280.0,exist,exist,5.0,14.0,15.0,51,3
6797,New construction,82000.0,1410.0,58.0,exist,exist,2.0,3.0,12.0,47,2
6798,New construction,145000.0,2230.0,65.0,exist,exist,2.0,2.0,18.0,50,1
6799,New construction,293000.0,1890.0,155.0,exist,exist,4.0,4.0,20.0,52,1
6800,New construction,275000.0,2120.0,130.0,exist,don't exist,3.0,5.0,14.0,51,2
6801,New construction,378000.0,3600.0,105.0,don't exist,don't exist,3.0,6.0,8.0,48,2
6802,New construction,409000.0,2880.0,142.0,exist,exist,3.0,18.0,18.0,57,3
6803,New construction,239000.0,1770.0,135.0,exist,exist,3.0,6.0,12.0,51,2
6804,New construction,483000.0,2420.0,200.0,exist,exist,4.0,8.0,17.0,46,2
6805,Old building,83000.0,1660.0,50.0,exist,exist,1.0,7.0,9.0,51,3
6806,New construction,400000.0,2110.0,190.0,exist,exist,3.0,5.0,19.0,46,2
6807,New construction,320000.0,2460.0,130.0,exist,exist,3.0,4.0,14.0,48,2
6808,New construction,135000.0,1410.0,96.0,exist,exist,3.0,15.0,16.0,50,3
6809,New construction,689000.0,2760.0,250.0,exist,exist,3.0,17.0,24.0,48,2
6810,New construction,150000.0,1580.0,95.0,exist,exist,3.0,3.0,12.0,50,2
6811,Old building,310000.0,3880.0,80.0,exist,exist,2.0,2.0,5.0,45,2
6812,New construction,185000.0,2100.0,88.0,exist,don't exist,2.0,6.0,16.0,45,2
6813,New construction,175000.0,1940.0,90.0,exist,exist,3.0,11.0,16.0,52,2
6814,New construction,299000.0,2340.0,128.0,don't exist,exist,3.0,4.0,17.0,52,1
6815,New construction,220000.0,2320.0,95.0,exist,exist,2.0,18.0,20.0,45,3
6816,Old building,132000.0,2060.0,64.0,exist,exist,3.0,9.0,9.0,56,3
6817,New construction,181000.0,1870.0,97.0,don't exist,exist,3.0,2.0,17.0,51,1
6818,New construction,165000.0,2700.0,61.0,don't exist,exist,2.0,4.0,16.0,50,2
6819,New construction,132000.0,2160.0,61.0,don't exist,don't exist,1.0,5.0,16.0,47,2
6820,New construction,189000.0,1450.0,130.0,exist,exist,4.0,2.0,9.0,49,1
6821,New construction,155000.0,1820.0,85.0,exist,exist,3.0,9.0,11.0,51,3
6822,Old building,125000.0,1920.0,65.0,exist,exist,2.0,3.0,9.0,47,2
6823,New construction,370000.0,2470.0,150.0,don't exist,exist,4.0,6.0,18.0,57,2
6824,Old building,118000.0,908.0,130.0,exist,exist,4.0,1.0,9.0,46,1
6825,New construction,215000.0,2050.0,105.0,exist,exist,3.0,5.0,14.0,55,2
6826,Old building,170000.0,1620.0,105.0,exist,exist,4.0,5.0,5.0,50,3
6827,New construction,97999.0,1400.0,70.0,exist,exist,2.0,4.0,7.0,46,2
6828,New construction,135000.0,1290.0,105.0,exist,exist,3.0,13.0,17.0,49,3
6829,New construction,365000.0,1620.0,226.0,exist,exist,4.0,22.0,24.0,57,3
6830,Old building,105000.0,2100.0,50.0,exist,exist,2.0,4.0,9.0,52,2
6831,New construction,380000.0,2590.0,147.0,exist,exist,3.0,8.0,16.0,46,2
6832,Old building,170000.0,1680.0,101.0,exist,exist,4.0,6.0,9.0,50,2
6833,Old building,170000.0,1550.0,110.0,exist,exist,5.0,4.0,5.0,50,3
6834,New construction,207000.0,1880.0,110.0,exist,exist,3.0,10.0,12.0,51,3
6835,New construction,205000.0,1740.0,118.0,don't exist,exist,3.0,13.0,15.0,51,3
6836,Old building,124000.0,2340.0,53.0,exist,exist,2.0,3.0,4.0,57,2
6837,New construction,179000.0,1750.0,102.0,don't exist,exist,3.0,15.0,17.0,49,3
6838,Old building,145000.0,2200.0,66.0,exist,exist,2.0,7.0,9.0,51,3
6839,New construction,186000.0,1980.0,94.0,don't exist,don't exist,2.0,10.0,20.0,56,2
6840,New construction,160000.0,2440.0,65.5,exist,don't exist,2.0,18.0,27.0,48,2
6841,New construction,360000.0,2670.0,135.0,exist,exist,3.0,19.0,20.0,57,3
6842,Old building,155000.0,1550.0,100.0,exist,exist,4.0,6.0,9.0,53,2
6843,New construction,195000.0,2710.0,72.0,don't exist,exist,2.0,8.0,10.0,48,3
6844,New construction,176000.0,2590.0,68.0,exist,exist,3.0,14.0,16.0,51,3
6845,New construction,335000.0,3130.0,107.0,exist,exist,2.0,9.0,17.0,46,2
6846,New construction,195000.0,1950.0,100.0,exist,exist,2.0,14.0,18.0,51,3
6847,New construction,225000.0,2250.0,100.0,exist,exist,2.0,11.0,19.0,57,2
6848,New construction,184500.0,1450.0,127.0,exist,exist,4.0,14.0,17.0,52,3
6849,New construction,260000.0,2260.0,115.0,exist,exist,3.0,2.0,16.0,57,1
6850,New construction,355000.0,2370.0,150.0,exist,exist,3.0,11.0,18.0,48,2
6851,New construction,255900.0,1830.0,140.0,exist,exist,3.0,15.0,16.0,57,3
6852,New construction,65000.0,1380.0,47.0,exist,exist,2.0,1.0,9.0,50,1
6853,New construction,205000.0,2100.0,97.5,don't exist,don't exist,3.0,4.0,15.0,58,2
6854,New construction,175000.0,1300.0,134.8,exist,don't exist,3.0,10.0,17.0,48,2
6855,New construction,310000.0,2820.0,110.0,exist,exist,2.0,13.0,18.0,46,2
6856,New construction,110000.0,1550.0,71.0,don't exist,don't exist,2.0,6.0,14.0,51,2
6857,Old building,300000.0,2070.0,145.0,exist,exist,6.0,1.0,5.0,58,1
6858,New construction,320000.0,2250.0,142.0,exist,exist,3.0,17.0,18.0,46,3
6859,Old building,140000.0,2150.0,65.0,exist,exist,3.0,2.0,4.0,57,2
6860,New construction,470000.0,3120.0,150.5,exist,exist,3.0,15.0,18.0,53,3
6861,Old building,138000.0,2190.0,63.0,exist,exist,3.0,6.0,9.0,52,2
6862,New construction,213000.0,2130.0,100.0,exist,exist,3.0,4.0,12.0,49,2
6863,New construction,250000.0,3130.0,80.0,don't exist,exist,3.0,15.0,16.0,46,3
6864,New construction,140000.0,2500.0,56.0,don't exist,exist,2.0,14.0,19.0,44,2
6865,Old building,74000.0,1320.0,56.0,exist,exist,4.0,2.0,5.0,47,2
6866,New construction,162000.0,2350.0,69.0,don't exist,don't exist,1.0,16.0,18.0,45,3
6867,New construction,290000.0,3020.0,96.0,exist,exist,3.0,14.0,17.0,57,3
6868,New construction,178000.0,2510.0,71.0,exist,exist,2.0,14.0,17.0,56,3
6869,New construction,56500.0,1130.0,50.0,exist,exist,2.0,2.0,11.0,46,1
6870,Old building,175000.0,1750.0,100.0,exist,exist,5.0,5.0,5.0,53,3
6871,New construction,120000.0,1760.0,68.0,exist,don't exist,2.0,7.0,15.0,48,2
6872,Old building,106000.0,2120.0,50.0,exist,exist,2.0,5.0,5.0,49,3
6873,New construction,260000.0,2000.0,130.0,exist,exist,2.0,9.0,16.0,48,2
6874,New construction,128000.0,1510.0,85.0,exist,exist,3.0,13.0,19.0,48,2
6875,New construction,89600.0,1600.0,56.0,don't exist,don't exist,2.0,8.0,16.0,44,2
6876,New construction,175000.0,2500.0,70.0,exist,exist,2.0,9.0,19.0,45,2
6877,Old building,196000.0,1780.0,110.0,exist,exist,3.0,2.0,3.0,47,2
