,category,price,price_1m2,area,title_deed,repair,room_number,floor_house,total_floors,title_length,floor_status
21988,New construction,805000.0,3270.0,246.0,exist,exist,5.0,4.0,19.0,57,1
21989,New construction,242000.0,2200.0,110.0,exist,don't exist,2.0,17.0,19.0,58,3
21990,New construction,128000.0,2250.0,57.0,don't exist,don't exist,1.0,7.0,15.0,45,2
21991,New construction,275000.0,2120.0,130.0,don't exist,don't exist,3.0,9.0,12.0,46,2
21992,Old building,440000.0,5180.0,85.0,exist,exist,3.0,3.0,5.0,45,2
21993,New construction,480000.0,3100.0,155.0,exist,exist,3.0,5.0,22.0,58,1
21994,Old building,230000.0,3290.0,70.0,exist,exist,3.0,4.0,4.0,46,3
21995,New construction,290000.0,2130.0,136.0,exist,exist,3.0,2.0,16.0,49,1
21996,New construction,230000.0,1840.0,125.0,exist,exist,3.0,6.0,16.0,51,2
21997,New construction,190000.0,2780.0,68.3,don't exist,don't exist,1.0,10.0,20.0,58,2
21998,Old building,195000.0,1500.0,130.0,exist,exist,4.0,9.0,9.0,50,3
21999,Old building,169000.0,1990.0,85.0,exist,exist,3.0,6.0,9.0,57,2
22000,New construction,299000.0,2140.0,140.0,exist,exist,3.0,13.0,17.0,52,3
22001,New construction,140000.0,2920.0,48.0,exist,exist,2.0,6.0,16.0,48,2
22002,New construction,220000.0,2100.0,105.0,exist,exist,4.0,10.0,18.0,48,2
22003,Old building,169000.0,1990.0,85.0,exist,don't exist,3.0,6.0,9.0,57,2
22004,New construction,200000.0,2000.0,100.0,exist,don't exist,2.0,11.0,20.0,48,2
22005,New construction,66000.0,1780.0,37.0,exist,exist,1.0,1.0,10.0,51,1
22006,New construction,198000.0,1650.0,120.0,exist,exist,3.0,15.0,18.0,51,3
22007,New construction,255000.0,1820.0,140.0,exist,exist,3.0,4.0,16.0,57,2
22008,New construction,280000.0,2870.0,97.6,don't exist,exist,2.0,10.0,16.0,47,2
22009,New construction,177000.0,1540.0,115.0,exist,exist,3.0,17.0,19.0,51,3
22010,New construction,135000.0,2870.0,47.0,exist,don't exist,1.0,3.0,16.0,45,1
22011,New construction,124000.0,1910.0,65.0,don't exist,exist,2.0,6.0,16.0,45,2
22012,Old building,106500.0,1940.0,55.0,exist,exist,2.0,1.0,5.0,46,1
22013,New construction,265000.0,1480.0,179.0,exist,exist,4.0,3.0,16.0,49,1
22014,New construction,460000.0,2560.0,180.0,exist,exist,3.0,3.0,14.0,58,1
22015,New construction,120000.0,1710.0,70.0,exist,exist,2.0,8.0,11.0,50,2
22016,New construction,128500.0,1120.0,115.0,exist,exist,4.0,6.0,9.0,48,2
22017,New construction,330000.0,2060.0,160.0,exist,exist,4.0,6.0,15.0,57,2
22018,New construction,430000.0,1830.0,235.0,exist,exist,4.0,14.0,14.0,57,3
22019,New construction,650000.0,1910.0,340.0,exist,exist,5.0,2.0,7.0,57,2
22020,New construction,380000.0,1880.0,202.0,exist,don't exist,4.0,9.0,18.0,46,2
22021,New construction,185000.0,2180.0,85.0,exist,exist,3.0,1.0,10.0,50,1
22022,Old building,108000.0,1540.0,70.0,exist,exist,3.0,4.0,5.0,48,3
22023,Old building,95000.0,1700.0,56.0,exist,exist,2.0,9.0,9.0,48,3
22024,New construction,192000.0,2900.0,66.2,don't exist,exist,2.0,13.0,17.0,58,3
22025,New construction,147000.0,1880.0,78.0,exist,don't exist,2.0,6.0,12.0,48,2
22026,New construction,239000.0,1990.0,120.0,exist,exist,3.0,11.0,16.0,52,2
22027,New construction,186000.0,3210.0,58.0,exist,exist,2.0,5.0,16.0,56,2
22028,New construction,850000.0,2980.0,285.0,exist,exist,5.0,17.0,18.0,51,3
22029,New construction,184000.0,3410.0,54.0,exist,exist,2.0,9.0,13.0,47,2
22030,New construction,163500.0,2600.0,63.0,don't exist,don't exist,2.0,8.0,16.0,56,2
22031,Old building,185000.0,1370.0,135.0,exist,exist,5.0,1.0,9.0,50,1
22032,New construction,189000.0,2550.0,74.0,don't exist,don't exist,2.0,10.0,16.0,56,2
22033,New construction,210000.0,1720.0,122.0,exist,exist,3.0,14.0,17.0,52,3
22034,Old building,118000.0,1820.0,65.0,exist,exist,2.0,1.0,9.0,47,1
22035,New construction,170000.0,1670.0,102.0,exist,exist,2.0,3.0,15.0,48,1
22036,New construction,335000.0,2910.0,115.0,exist,exist,3.0,5.0,19.0,58,2
22037,New construction,250000.0,1840.0,136.0,exist,exist,3.0,17.0,19.0,48,3
22038,New construction,165000.0,1630.0,101.5,exist,exist,2.0,5.0,12.0,53,2
22039,New construction,148000.0,2110.0,70.0,don't exist,exist,1.0,11.0,13.0,50,3
22040,New construction,329000.0,2300.0,143.0,exist,exist,3.0,6.0,17.0,46,2
22041,Old building,130000.0,2170.0,60.0,exist,exist,2.0,6.0,9.0,46,2
22042,Old building,210000.0,3000.0,70.0,exist,exist,3.0,9.0,9.0,57,3
22043,New construction,275000.0,1830.0,150.0,exist,don't exist,3.0,3.0,19.0,46,1
22044,New construction,110000.0,1900.0,58.0,exist,exist,2.0,4.0,18.0,51,1
22045,New construction,280000.0,1860.0,150.5,exist,exist,3.0,17.0,17.0,53,3
22046,New construction,246500.0,2230.0,110.5,exist,exist,3.0,18.0,19.0,57,3
22047,New construction,390000.0,2440.0,160.0,exist,exist,4.0,5.0,18.0,46,2
22048,New construction,185000.0,1850.0,100.0,exist,exist,3.0,11.0,14.0,57,3
22049,New construction,249000.0,2080.0,120.0,exist,exist,3.0,6.0,14.0,57,2
22050,New construction,129000.0,1930.0,67.0,exist,exist,2.0,16.0,17.0,56,3
22051,New construction,106000.0,1580.0,67.0,don't exist,don't exist,3.0,5.0,13.0,46,2
22052,New construction,420000.0,2800.0,150.0,exist,exist,3.0,8.0,11.0,48,2
22053,New construction,135000.0,2250.0,60.0,don't exist,exist,1.0,17.0,18.0,50,3
22054,New construction,230000.0,2880.0,80.0,exist,exist,2.0,10.0,17.0,45,2
22055,Old building,90000.0,2430.0,37.0,exist,don't exist,1.0,1.0,5.0,46,1
22056,New construction,158000.0,2510.0,63.0,don't exist,exist,2.0,8.0,17.0,50,2
